Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Corporate Real Estate Management,Structural/Building Envelope,476 LAWRENCE AVE W-Replacement of DHW Heater and  , -   ,5.00,40.00, -   , -   , -   , -   , -   , -   , -   ,45.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,49 Toryork Drive-Wood roof framing rehabilitation, -   , -   , -   ,13.00,112.00, -   , -   , -   , -   , -   ,125.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,5 Bathurst St-Silos Monitoring, -   ,536.00,536.00,536.00,536.00,650.00,536.00,536.00,536.00,536.00,4938.00,5,York South-Weston ,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,5100 Yonge St-Roofing & Frames, -   , -   , -   , -   , -   , -   , -   , -   ,24.00,444.00,468.00,18,Willowdale,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,524 OAKWOOD AVE-Replace windows and exterior doors, -   , -   , -   , -   ,22.00,279.00, -   , -   , -   , -   ,301.00,12,Toronto-St. Pauls,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,58 Cecil Street - Repl of Original Wood Windows, -   , -   , -   ,13.00,263.00, -   , -   , -   , -   , -   ,276.00,11,University-Rosedale,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,61 TORYORK-Exterior Wall Rehabilitation, -   , -   , -   ,33.00,312.00, -   , -   , -   , -   , -   ,345.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,61 TORYORK-Storage Shed Replacement, -   , -   , -   ,7.00,478.00, -   , -   , -   , -   , -   ,485.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,61 TORYORK-Window and Door Repairs, -   , -   , -   ,30.00,429.00, -   , -   , -   , -   , -   ,459.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,662 Jane-RplWindows&FrontEntrance, -   , -   , -   , -   , -   , -   , -   , -   ,7.00,111.00,118.00,5,York South-Weston ,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,707 Dundas Street -Replace Windows, -   , -   , -   , -   , -   , -   , -   , -   , -   ,628.00,628.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,71 Front W-Union Station SOGR Projects, -   , -   ,2000.00,5000.00,6500.00,6500.00,5000.00,4000.00,6500.00,5000.00,40500.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,71 Front W-Union Station-Var SOGR 2021 ,100.00,4000.00,4900.00,1900.00, -   , -   , -   , -   , -   , -   ,10900.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,755 Warden Ave-Complete Exterior Repainting, -   , -   , -   ,3.00,76.00, -   , -   , -   , -   , -   ,79.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,786 Dundas St E - Various Projects, -   , -   , -   , -   , -   , -   , -   , -   ,8.00,79.00,87.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,821 Progress Ave - Various Projects, -   , -   ,13.00,245.00, -   , -   , -   , -   , -   , -   ,258.00,24,Scarborough-Guildwood,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,"843 Eastern-Rpl Windows,Doors,Ext.Wall", -   , -   , -   , -   ,239.00,3643.00, -   , -   , -   , -   ,3882.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,891 Morningside Ave- Door Replacement, -   , -   ,7.00,87.00, -   , -   , -   , -   , -   , -   ,94.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,891 MORNINGSIDE AVE -Exterior Wall Rehabilitation, -   , -   , -   ,18.00,209.00, -   , -   , -   , -   , -   ,227.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,891 MORNINGSIDE AVE-Windows and Door Replacement, -   , -   , -   ,11.00,137.00, -   , -   , -   , -   , -   ,148.00,25,Scarborough-Rouge Park,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,97 Main -Repl Vertical Hung Windows, -   , -   , -   , -   , -   , -   , -   , -   ,25.00,260.00,285.00,19,Beaches-East York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,North Bay Pedestrian Bridge Connection,850.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,850.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Relocation of Fire Station 332 to 55 John St, -   ,6308.00,7620.00, -   , -   , -   , -   , -   , -   , -   ,13928.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Tech Audits & Capital Project Validations,1360.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1360.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Technical Audits & Capital Project Validations, -   , -   , -   , -   ,1530.00, -   , -   ,1672.00,1722.00,1800.00,6724.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Union Station-Various SOGR Work 2018,2425.00,600.00, -   , -   , -   , -   , -   , -   , -   , -   ,3025.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Var Locs-Civic Projects 2022,3000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3000.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Var Locs-Civic Projects Future, -   ,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,3000.00,27000.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Var Locs-Client Projects 2022,2000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2000.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Var Locs-Client Projects Future, -   ,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,18000.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Various Locations - Technical Audits & Capital Pro, -   ,1400.00,1442.00, -   , -   , -   , -   , -   , -   , -   ,2842.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Various locations -Technical Audits & Capital Proj, -   , -   , -   ,1486.00, -   , -   , -   , -   , -   , -   ,1486.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Various SOGR Work on Building Envelope - Future, -   , -   ,19.00,247.00, -   , -   , -   , -   , -   , -   ,266.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Various SOGR Work on Building Envelope 2019,4141.00,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,4641.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,Various SOGR Work on Building Envelope 2027, -   , -   , -   , -   , -   ,623.00,285.00,40.00,843.00, -   ,1791.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2020,1450.00,1500.00,600.00, -   , -   , -   , -   , -   , -   , -   ,3550.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2021 ,1704.00,384.00,1000.00, -   , -   , -   , -   , -   , -   , -   ,3088.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Building Envelope 2029, -   , -   , -   , -   , -   , -   ,673.00,1337.00,7083.00,383.00,9476.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Work Building Envelope 2022,1757.00,3623.00,3042.00, -   , -   , -   , -   , -   , -   , -   ,8422.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-SOGR Work Building Envelope 2030 , -   , -   , -   , -   , -   , -   , -   , -   ,61.00,743.00,804.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-Various SOGR Building Envelope 2018Group I,25.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,25.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-Various SOGR Building Envelope2018Group II,985.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,985.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-Various SOGR Work on Building Envelope2026, -   , -   , -   , -   ,109.00,2995.00,1441.00, -   , -   , -   ,4545.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Structural/Building Envelope,VarLocs-Various SOGR Work on Building Envelope2027, -   , -   , -   , -   , -   ,1576.00,1283.00, -   , -   , -   ,2859.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Transform TO,Transform TO - ECDM 2021 ,100.00,400.00, -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Transform TO,Transform TO - ECDM 2022,500.00,1000.00,500.00, -   , -   , -   , -   , -   , -   , -   ,2000.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Transform TO,Transform TO - ECDM Future Year , -   , -   ,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,8000.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,USR - Professional Services,Union Station Enhancement Project (USEP) Pkg 1,368.00,372.00,526.00, -   , -   , -   , -   , -   , -   , -   ,1266.00,10,Spadina-Fort York,Service Improvement and Enhancement 
Court Services, Adjudicative InformationManagement System (AIMS),Adjudicative Info Mgmt System Feasibility Phase ,308.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,308.00,CW,City Wide,Service Improvement and Enhancement 
Economic Development and Culture, 2022 BIA Equal Share Funding,2022 BIA Equal Share Funding ,580.00,3438.00, -   , -   , -   , -   , -   , -   , -   , -   ,4018.00,CW,City Wide,State of Good Repair 
Economic Development and Culture, Indigenous Ctr for Innovation & Entrepreneurship,Indigenous Ctr for Innovation and Entrepreneurship,3850.00,3253.00, -   , -   , -   , -   , -   , -   , -   , -   ,7103.00,13,Toronto Centre,Service Improvement and Enhancement 
Economic Development and Culture,2020 BIA Equal Share Funding, 2020 BIA Equal Share Funding,2199.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2199.00,CW,City Wide,State of Good Repair 
Economic Development and Culture,2021 BIA Equal Share Funding,2021 BIA Equal Share Funding,2875.00,200.00, -   , -   , -   , -   , -   , -   , -   , -   ,3075.00,CW,City Wide,State of Good Repair 
Economic Development and Culture,2023-2031 BIA Equal Share Funding,2023-2031 BIA Equal Share Funding, -   ,1420.00,3780.00,3804.00,3836.00,3780.00,3780.00,3780.00,3780.00,3780.00,31740.00,CW,City Wide,State of Good Repair 
Economic Development and Culture,BIA Financed Funding FF,2019 FF Toronto Entertainment District , -   ,1350.00, -   , -   , -   , -   , -   , -   , -   , -   ,1350.00,10,Spadina-Fort York,State of Good Repair 
Economic Development and Culture,BIA Financed Funding FF,2021 FF Wexford Heights BIA Gateway Parkette,750.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,750.00,21,Scarborough Centre,State of Good Repair 
Economic Development and Culture,BIA Financed Funding FF,2023-2031 BIA Financed Funding, -   ,2448.00,2448.00,2448.00,2448.00,2448.00,2448.00,2448.00,2448.00,2448.00,22032.00,CW,City Wide,State of Good Repair 
Economic Development and Culture,BIA Financed Funding FF,FF Toronto Entertainment District , -   ,1000.00, -   , -   , -   , -   , -   , -   , -   , -   ,1000.00,10,Spadina-Fort York,State of Good Repair 
Economic Development and Culture,BIA Planning Act Revenues,PAR Bloor West Village,5.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,5.00,4,Parkdale-High Park,State of Good Repair 
Economic Development and Culture,BIA Planning Act Revenues,PAR Village of Islington,54.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,54.00,CW,City Wide,State of Good Repair 
Economic Development and Culture,BIA Special Project, DUKE HeightsáBusiness Improvement Area Public Art,223.00,28.00, -   , -   , -   , -   , -   , -   , -   , -   ,251.00,8,Eglinton-Lawrence,Growth Related 
Economic Development and Culture,Collections Care,Collections Facilities -FY, -   ,200.00, -   ,200.00,400.00, -   ,200.00,400.00, -   ,200.00,1600.00,10,Spadina-Fort York,State of Good Repair 
Economic Development and Culture,Collections Care,Collections Facility Mechanical ,300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,300.00,10,Spadina-Fort York,State of Good Repair 
Economic Development and Culture,Collections Care,Cultural Assets Storage Workshop - FY, -   , -   , -   ,100.00, -   ,250.00, -   , -   , -   ,300.00,650.00,8,Eglinton-Lawrence,Service Improvement and Enhancement 
Economic Development and Culture,Collections Care,Culture Assets Storage Workshop ,200.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,200.00,8,Eglinton-Lawrence,Service Improvement and Enhancement 
Economic Development and Culture,Collections Care,Large Artifact Care - FY, -   , -   ,100.00,50.00, -   ,100.00,150.00, -   ,200.00, -   ,600.00,CW,City Wide,State of Good Repair 
Economic Development and Culture,Commercial Facade Improvement Program - CFIP, 2023-2031 Commercial Facade Improvement Program, -   ,721.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,1021.00,8889.00,CW,City Wide,Service Improvement and Enhancement 
Economic Development and Culture,Commercial Facade Improvement Program - CFIP,2021 Commercial Facade Improvement Program ,300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,300.00,CW,City Wide,Service Improvement and Enhancement 
Economic Development and Culture,Commercial Facade Improvement Program - CFIP,2022 Commercial Facade Improvement Program,721.00,300.00, -   , -   , -   , -   , -   , -   , -   , -   ,1021.00,CW,City Wide,Service Improvement and Enhancement 
Economic Development and Culture,Cultural Infrastructure Development,Guild - West Compound - FY , -   , -   , -   , -   , -   , -   ,300.00,600.00, -   , -   ,900.00,24,Scarborough-Guildwood,Service Improvement and Enhancement 
Economic Development and Culture,Cultural Infrastructure Development,Guild Revitalization - FY , -   , -   , -   , -   ,300.00,600.00, -   ,300.00, -   , -   ,1200.00,24,Scarborough-Guildwood,Service Improvement and Enhancement 
Economic Development and Culture,Cultural Infrastructure Development,John Street Public Art Project, -   , -   , -   , -   ,1579.00, -   , -   , -   , -   , -   ,1579.00,10,Spadina-Fort York,Legislated 
Economic Development and Culture,Cultural Infrastructure Development,Public Art - Pam Mcconnell Memorial ,131.20, -   , -   , -   , -   , -   , -   , -   , -   , -   ,131.20,13,Toronto Centre,Growth Related 
Economic Development and Culture,Economic Competitiveness Data Mgnt System,Digital Service Delivery Phase 2,250.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,250.00,CW,City Wide,Service Improvement and Enhancement 
Economic Development and Culture,Economic Competitiveness Data Mgnt System,Digital Service Delivery Phase 3, -   ,250.00,250.00, -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,Service Improvement and Enhancement 
Economic Development and Culture,Major Maintenance , Theatre Passe Muraille-2019/2020,400.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,400.00,10,Spadina-Fort York,State of Good Repair 
Economic Development and Culture,Major Maintenance ,Alumnae Theatre  Accessibility - FY, -   , -   ,250.00,300.00, -   , -   ,296.00,400.00,200.00, -   ,1446.00,13,Toronto Centre,State of Good Repair 
Economic Development and Culture,Major Maintenance ,Alumnae Theatre - AODA ,200.00,700.00, -   , -   , -   , -   , -   , -   , -   , -   ,900.00,13,Toronto Centre,Legislated 
Economic Development and Culture,Major Maintenance ,Alumnae Theatre AODA, -   , -   ,500.00, -   , -   , -   , -   , -   , -   , -   ,500.00,13,Toronto Centre,Legislated 
Economic Development and Culture,Major Maintenance ,Assembly Hall - FY, -   , -   ,50.00,350.00,500.00, -   ,100.00,750.00, -   , -   ,1750.00,3,Etobicoke-Lakeshore,State of Good Repair 
Economic Development and Culture,Major Maintenance ,Assembly Hall Mechanical,980.00,400.00, -   , -   , -   , -   , -   , -   , -   , -   ,1380.00,3,Etobicoke-Lakeshore,State of Good Repair 
